行业,行业细分,公司,涨跌幅,市值
非周期性消费,酒精饮料,贵州茅台,-1.93,2556362523000.0
金融服务,银行,工商银行,-0.22,1560705696000.0
工业,工业制品,宁德时代,-0.59,1367507634000.0
金融服务,银行,招商银行,0.37,1232242427000.0
金融服务,银行,建设银行,-0.17,1116302460000.0
金融服务,银行,农业银行,-0.34,1002788799000.0
金融服务,保险,中国平安,-0.4,885508206000.0
非周期性消费,酒精饮料,五粮液,-1.9,858689323000.0
能源,石油与天然气,中国石油,0.0,853302124000.0
金融服务,银行,中国银行,0.33,839143317000.0
周期性消费,汽车和配件,比亚迪,0.89,784553000000.0
金融服务,保险,中国人寿,-0.23,675954742000.0
公用事业,公共事业 - 独立发电商,长江电力,0.53,515103112000.0
周期性消费,家具制造,美的集团,-1.22,510480995000.0
科技,硬件,海康威视,-0.47,477712328000.0
科技,半导体,隆基股份,5.71,464810249000.0
医疗保健,医疗器械,迈瑞医疗,-0.64,463223096000.0
非周期性消费,农副加工食品,海天味业,0.18,441772863000.0
能源,其他能源,中国神华,4.38,430008290000.0
周期性消费,旅游和娱乐,中国中免,0.16,425346797000.0
金融服务,银行,兴业银行,-0.26,394709624000.0
非周期性消费,酒精饮料,山西汾酒,-1.68,384336027000.0
金融服务,资本市场,东方财富,-0.49,381079108000.0
非周期性消费,酒精饮料,泸州老窖,-1.8,366359784000.0
医疗保健,医疗诊断和研究,药明康德,-0.52,347293168000.0
科技,硬件,立讯精密,0.82,344981412000.0
非周期性消费,农副加工食品,金龙鱼,-0.32,340149964000.0
工业,交通运输,顺丰控股,-0.32,337302933000.0
金融服务,银行,平安银行,-1.49,321938414000.0
医疗保健,医药制造,恒瑞医药,0.5,321463560000.0
金融服务,资本市场,中信证券,0.27,319288283000.0
基础材料,化工,万华化学,0.0,316235280000.0
金融服务,银行,交通银行,0.22,315548713000.0
非周期性消费,农副加工食品,牧原股份,1.84,279806388000.0
科技,半导体,韦尔股份,0.14,271643631000.0
周期性消费,家具制造,海尔智家,0.03,264249739000.0
医疗保健,医药制造,片仔癀,3.25,263516890000.0
非周期性消费,农副加工食品,伊利股份,-1.06,261893358000.0
金融服务,银行,宁波银行,-0.52,251067830000.0
金融服务,银行,浦发银行,0.0,250667494000.0
非周期性消费,酒精饮料,洋河股份,-1.7,248801673000.0
基础材料,金属与开采,紫金矿业,0.41,242833111000.0
周期性消费,汽车和配件,上汽集团,0.39,240796139000.0
工业,交通运输,京沪高铁,0.0,237675387000.0
科技,硬件,工业富联,-0.5,235200613000.0
金融服务,保险,中国太保,0.0,232852339000.0
医疗保健,医疗机构和服务,爱尔眼科,-3.53,228120586000.0
周期性消费,包装和容器,恩捷股份,-0.89,225324713000.0
工业,工业制品,亿纬锂能,-0.78,222312958000.0
工业,工业制品,国电南瑞,-0.47,222150202000.0
周期性消费,家具制造,格力电器,0.16,218244003000.0
房地产,房地产开发及服务,万科Ａ,1.99,218141435000.0
工业,工业制品,阳光电源,3.57,216795387000.0
公用事业,公共事业 - 独立发电商,三峡能源,2.19,213711080000.0
工业,建筑,中国建筑,0.2,207643431000.0
非周期性消费,农副加工食品,通威股份,7.89,204460320000.0
基础材料,建筑材料,海螺水泥,-0.94,201388039000.0
医疗保健,生物科技,智飞生物,-0.92,199612752000.0
金融服务,银行,中信银行,-0.22,197818288000.0
工业,农用和重型工程机械,三一重工,-0.91,194726847000.0
科技,硬件,京东方Ｂ,-0.59,191314626000.0
基础材料,化工,赣锋锂业,2.02,190745829000.0
金融服务,资本市场,中信建投,-0.17,189933421000.0
房地产,房地产开发及服务,保利发展,3.97,187930690000.0
基础材料,农业,盐湖股份,3.21,186834885000.0
科技,硬件,歌尔股份,-1.49,183150496000.0
科技,硬件,北方华创,1.0,180546122000.0
工业,工业制品,汇川技术,-1.43,180231619000.0
基础材料,化工,荣盛石化,-1.39,180133090000.0
医疗保健,生物科技,百济神州,2.76,174248883000.0
科技,半导体,三安光电,3.02,169543069000.0
工业,航空航天和国防,航发动力,0.43,168865396000.0
金融服务,资本市场,广发证券,1.78,166053177000.0
基础材料,金属与开采,北方稀土,-0.28,165849462000.0
金融服务,银行,光大银行,-0.3,165105052000.0
科技,半导体,天合光能,5.01,163911770000.0
周期性消费,服饰加工,恒力石化,-0.78,160632257000.0
科技,硬件,闻泰科技,-2.35,160464378000.0
基础材料,钢铁和焦煤,宝钢股份,0.56,159219142000.0
金融服务,银行,民生银行,0.0,158446551000.0
基础材料,化工,天齐锂业,1.79,154588208000.0
公用事业,公共事业 - 独立发电商,华能国际,3.86,151957544000.0
科技,半导体,晶澳科技,1.23,148878814000.0
金融服务,资本市场,华泰证券,0.0,148238147000.0
金融服务,资本市场,国泰君安,-0.34,147161533000.0
公用事业,公共事业 - 独立发电商,中国核电,-1.07,146089885000.0
科技,硬件,中兴通讯,1.18,145940082000.0
工业,工业制品,潍柴动力,-2.13,144993017000.0
金融服务,资本市场,招商证券,0.29,142898855000.0
基础材料,化工,合盛硅业,1.53,141789857000.0
金融服务,资本市场,海通证券,0.25,137544015000.0
科技,半导体,紫光国微,-3.91,136230634000.0
科技,半导体,中环股份,3.11,135086469000.0
工业,航空航天和国防,中航沈飞,-0.85,133317060000.0
医疗保健,生物科技,万泰生物,0.48,132990323000.0
基础材料,金属与开采,华友钴业,0.62,132979569000.0
医疗保健,医药制造,云南白药,6.06,131997760000.0
工业,建筑,中国中铁,0.35,130976680000.0
工业,建筑,东方雨虹,0.7,130497909000.0
周期性消费,汽车和配件,广汽集团,-1.18,128704712000.0
基础材料,化工,宝丰能源,-0.11,127600464000.0
基础材料,建筑材料,天山股份,0.13,126985338000.0
工业,交通运输,上港集团,-0.73,126868804000.0
基础材料,钢铁和焦煤,包钢股份,0.0,126270540000.0
科技,硬件,传音控股,0.56,124871383000.0
工业,建筑,中国电建,0.25,123769194000.0
科技,半导体,福斯特,5.52,123167935000.0
科技,软件,金山办公,0.87,122303300000.0
非周期性消费,农副加工食品,温氏股份,0.78,122271805000.0
通信服务,通信,中国联通,0.26,121796175000.0
科技,软件,科大讯飞,0.85,121329983000.0
非周期性消费,农副加工食品,海大集团,1.0,120535179000.0
工业,工业制品,大全能源,5.94,120235500000.0
科技,软件,用友网络,1.81,119777477000.0
金融服务,资本市场,申万宏源,-0.2,118817130000.0
能源,其他能源,陕西煤业,0.25,117891200000.0
通信服务,传媒,分众传媒,-1.33,117846427000.0
公用事业,公共事业 - 独立发电商,华能水电,2.67,117720000000.0
科技,半导体,兆易创新,-0.66,117001445000.0
医疗保健,医疗器械,爱美客,-1.11,116288022000.0
工业,工业制品,先导智能,0.11,116189937000.0
周期性消费,汽车和配件,福耀玻璃,-0.74,114146154000.0
科技,硬件,蓝思科技,-0.09,113693796000.0
医疗保健,医药制造,复星医药,0.41,113588761000.0
医疗保健,生物科技,凯莱英,-3.55,112481664000.0
工业,工业制品,正泰电器,4.54,111841625000.0
工业,交通运输,中国国航,0.33,111597245000.0
基础材料,化工,天赐材料,-0.38,111301158000.0
科技,硬件,中航光电,1.25,111116725000.0
基础材料,化工,璞泰来,0.52,111101367000.0
工业,航空航天和国防,中国船舶,0.65,110513715000.0
金融服务,资本市场,国信证券,0.44,110446812000.0
医疗保健,医药制造,长春高新,0.0,109820851000.0
非周期性消费,酒精饮料,古井贡Ｂ,-2.52,109103175000.0
非周期性消费,农副加工食品,双汇发展,-0.51,108339780000.0
非周期性消费,酒精饮料,青岛啤酒,-1.83,108146368000.0
医疗保健,生物科技,康龙化成,-0.3,106917182000.0
工业,工业制品,恒立液压,0.94,106752339000.0
科技,半导体,卓胜微,-4.41,106751222000.0
医疗保健,医疗诊断和研究,泰格医药,0.82,105696281000.0
基础材料,钢铁和焦煤,中信特钢,7.72,105636712000.0
周期性消费,非生活必需品零售商,芒果超媒,2.49,105625091000.0
房地产,房地产开发及服务,招商蛇口,1.85,104426868000.0
周期性消费,服饰加工,华利集团,0.06,103921350000.0
工业,交通运输,南方航空,0.59,103076194000.0
工业,航空航天和国防,中航西飞,0.71,101470842000.0
金融服务,银行,上海银行,-0.14,101293236000.0
周期性消费,汽车和配件,长安Ｂ,0.0,100814436000.0
工业,工业制品,公牛集团,-1.55,100318993000.0
工业,建筑,中国铁建,1.04,98510635000.0
金融服务,保险,新华保险,-0.26,98463680000.0
科技,硬件,鹏鼎控股,-1.11,97220047000.0
工业,航空航天和国防,中国重工,0.0,96224589000.0
工业,交通运输,大秦铁路,-0.31,94553464000.0
金融服务,银行,北京银行,-0.22,93874850000.0
科技,半导体,澜起科技,-1.57,93694827000.0
基础材料,金属与开采,中国铝业,-1.14,93072669000.0
金融服务,资本市场,东方证券,-0.34,92882614000.0
能源,其他能源,兖州煤业,-0.77,92877171000.0
周期性消费,服饰加工,东方盛虹,0.0,92830143000.0
基础材料,化工,中伟股份,1.1,90590518000.0
工业,交通运输,上海机场,-0.97,90412891000.0
科技,半导体,晶盛机电,5.04,90387162000.0
科技,软件,恒生电子,-0.02,90309822000.0
工业,工业制品,三花智控,-0.87,90177258000.0
医疗保健,医药制造,沃森生物,-0.76,89931435000.0
科技,软件,三六零,0.56,89817217000.0
金融服务,银行,南京银行,0.45,89762942000.0
周期性消费,汽车和配件,华域汽车,1.17,89694996000.0
周期性消费,家具制造,欧派家居,-0.78,88333123000.0
科技,半导体,TCL科技,-0.48,86569064000.0
周期性消费,家具制造,科沃斯,-2.07,86215439000.0
金融服务,银行,华夏银行,0.0,86014582000.0
金融服务,银行,江苏银行,0.17,85959226000.0
科技,硬件,三环集团,-0.29,85763258000.0
科技,半导体,华润微,0.09,85291136000.0
工业,工业制品,国轩高科,-0.51,85216562000.0
公用事业,公共事业 - 独立发电商,国投电力,2.54,84306773000.0
工业,交通运输,中国东航,1.38,83385803000.0
医疗保健,生物科技,贝泰妮,-2.56,81890243000.0
科技,软件,宝信Ｂ,-1.15,80528810000.0
医疗保健,医药制造,新和成,0.84,80110726000.0
工业,工业制品,特变电工,2.42,80038238000.0
工业,建筑,中国中冶,0.0,79578698000.0
科技,硬件,深信服,-0.92,79227831000.0
基础材料,农业,藏格控股,5.52,78699219000.0
周期性消费,汽车和配件,小康股份,3.83,78590290000.0
科技,半导体,中微公司,0.1,78429435000.0
周期性消费,汽车和配件,德赛西威,-1.21,77959730000.0
基础材料,化工,凯赛生物,-1.69,77944531000.0
基础材料,金属与开采,山东黄金,1.13,77174285000.0
科技,软件,同花顺,-0.4,77027219000.0
科技,半导体,士兰微,0.52,76595326000.0
科技,软件,广联达,-0.09,76010619000.0
非周期性消费,酒精饮料,舍得酒业,0.14,75652411000.0
科技,硬件,格科微,-0.43,75516371000.0
金融服务,银行,杭州银行,-1.47,75432150000.0
基础材料,化工,华熙生物,-0.76,74342400000.0
工业,建筑,中国化学,0.92,73802404000.0
科技,硬件,亿联网络,-0.44,73601542000.0
科技,半导体,圣邦股份,-1.17,73580454000.0
非周期性消费,酒精饮料,重庆啤酒,-3.27,73031254000.0
能源,其他能源,中煤能源,-0.63,72894461000.0
工业,工业制品,欣旺达,1.57,72196475000.0
基础材料,化工,中国巨石,-1.21,71936366000.0
非周期性消费,酒精饮料,东鹏饮料,0.27,71849796000.0
工业,航空航天和国防,中航机电,0.05,71053424000.0
医疗保健,医药制造,华东医药,-2.13,69817400000.0
能源,石油与天然气,美锦能源,-6.74,69733526000.0
工业,商业服务,大华股份,-0.13,69707252000.0
金融服务,资本市场,中泰证券,-0.6,69337827000.0
基础材料,化工,卫星化学,-3.76,69092684000.0
科技,半导体,迈为股份,0.5,69031482000.0
非周期性消费,酒精饮料,酒鬼酒,-1.48,68647745000.0
医疗保健,医药制造,康泰生物,-1.27,68346192000.0
非周期性消费,农副加工食品,新希望,4.2,68163849000.0
基础材料,化工,龙佰集团,0.32,68086310000.0
非周期性消费,酒精饮料,今世缘,-2.12,67755545000.0
工业,工业制品,上海电气,-0.82,67674891000.0
科技,半导体,纳思达,0.15,67358170000.0
工业,工业制品,金风科技,1.99,66297279000.0
基础材料,农业,华鲁恒升,-1.67,66081810000.0
科技,硬件,紫光股份,0.31,65839039000.0
金融服务,资本市场,兴业证券,-0.61,65828283000.0
科技,半导体,斯达半导,-1.82,65661156000.0
金融服务,多元化金融服务,中油资本,0.19,65486215000.0
科技,硬件,振华科技,-0.22,65025735000.0
房地产,房地产开发及服务,新城控股,1.2,64976826000.0
金融服务,银行,沪农商行,0.0,64907111000.0
科技,硬件,北京君正,0.34,64843388000.0
医疗保健,医疗机构和服务,通策医疗,-2.13,64557657000.0
金融服务,资本市场,方正证券,-0.13,64539675000.0
科技,半导体,沪硅产业,0.04,64263537000.0
工业,工业制品,东方电气,-0.41,63685448000.0
工业,交通运输,宁波港,-0.25,62755447000.0
周期性消费,汽车和配件,世纪华通,-0.36,62228850000.0
医疗保健,医药制造,同仁堂,10.0,61688733000.0
金融服务,资本市场,光大证券,-0.13,61634213000.0
科技,半导体,思瑞浦,-1.93,61308211000.0
工业,交通运输,*ST海航B,0.0,60737948000.0
基础材料,金属与开采,江西铜业,-0.13,60233487000.0
基础材料,钢铁和焦煤,永兴材料,2.14,59983253000.0
工业,工业制品,晨光文具,-0.8,59654041000.0
科技,软件,奇安信,3.25,59600335000.0
工业,建筑,北新建材,0.92,59539188000.0
科技,硬件,深南电路,0.33,59340963000.0
工业,交通运输,韵达股份,-0.2,59245738000.0
通信服务,交互式媒体,三七互娱,1.37,59061727000.0
科技,软件,中科创达,-2.28,58848946000.0
房地产,房地产开发及服务,金地集团,5.94,58734731000.0
周期性消费,汽车和配件,拓普集团,-1.54,58595815000.0
周期性消费,汽车和配件,星宇股份,-0.49,58564280000.0
非周期性消费,酒精饮料,水井坊,-1.31,58506671000.0
周期性消费,旅游和娱乐,华侨城Ａ,-0.28,58396773000.0
工业,工业制品,中天科技,2.15,58361439000.0
通信服务,通信,中国卫通,-0.07,57960000000.0
工业,工业制品,大族激光,-0.09,57611264000.0
科技,半导体,瑞芯微,-3.01,57306617000.0
工业,工业制品,坚朗五金,-2.73,57262268000.0
基础材料,化工,中材科技,0.26,57240795000.0
工业,农用和重型工程机械,中联重科,0.42,57225821000.0
工业,交通运输,圆通速递,-0.6,56916233000.0
金融服务,资本市场,永安期货,-6.45,56766667000.0
工业,建筑,四川路桥,0.34,56732112000.0
科技,硬件,高德红外,-0.33,56645994000.0
工业,工业制品,锦浪科技,3.96,56549804000.0
公用事业,公共事业 - 独立发电商,国电电力,8.97,56360556000.0
基础材料,金属与开采,南山铝业,0.0,56047758000.0
金融服务,资本市场,红塔证券,-0.42,55988270000.0
房地产,房地产开发及服务,绿地控股,1.17,55450278000.0
非周期性消费,酒精饮料,迎驾贡酒,0.8,55272000000.0
周期性消费,旅游和娱乐,锦江Ｂ股,0.61,55151377000.0
科技,半导体,长电科技,0.65,55130550000.0
工业,工业制品,珠海冠宇,-0.06,55116773000.0
工业,工业制品,宏发股份,0.24,55022983000.0
科技,半导体,盛美上海,0.93,54936020000.0
公用事业,公共事业 - 独立发电商,浙能电力,1.51,54810780000.0
科技,半导体,立昂微,-1.18,54692091000.0
公用事业,公共事业 - 独立发电商,川投能源,1.64,54460039000.0
基础材料,化工,杉杉股份,0.8,54235073000.0
科技,硬件,生益科技,-0.59,54214463000.0
能源,石油与天然气,中海油服,0.27,53767135000.0
工业,工业制品,石头科技,0.1,53713610000.0
科技,硬件,视源股份,1.51,53477585000.0
工业,工业制品,中航重机,1.39,53107752000.0
医疗保健,生物科技,华兰生物,0.28,53052584000.0
金融服务,资本市场,国投资本,0.0,52751709000.0
工业,企业集团,新奥股份,0.87,52534457000.0
周期性消费,汽车和配件,光启技术,9.0,52158694000.0
科技,硬件,领益智造,-0.41,52043399000.0
医疗保健,医药制造,白云山,5.67,51965241000.0
房地产,房地产开发及服务,*ST基础,0.22,51756653000.0
科技,硬件,法拉电子,1.12,51709500000.0
科技,硬件,晶晨股份,-0.49,51587338000.0
医疗保健,医疗诊断和研究,金域医学,1.38,51405382000.0
科技,硬件,浪潮信息,-0.28,51316238000.0
医疗保健,医药制造,健友股份,0.83,51286070000.0
工业,交通运输,春秋航空,-0.39,51074467000.0
公用事业,公共事业 - 管制,桂冠电力,1.57,50920161000.0
周期性消费,服饰加工,桐昆股份,-0.75,50778177000.0
基础材料,化工,三棵树,1.29,50751301000.0
金融服务,资本市场,浙商证券,-0.91,50726447000.0
工业,工业制品,明阳智能,2.41,50629735000.0
工业,工业制品,中航高科,3.9,50525890000.0
科技,硬件,容百科技,5.17,50260861000.0
基础材料,林业,盛新锂能,4.13,50125712000.0
非周期性消费,农副加工食品,安琪酵母,-0.91,49955000000.0
工业,工业制品,中集集团,1.8,49922328000.0
周期性消费,家具制造,苏泊尔,-1.62,49619988000.0
医疗保健,生物科技,博腾股份,-2.37,49431932000.0
工业,垃圾处理,格林美,0.29,49413785000.0
周期性消费,汽车和配件,玲珑轮胎,-0.53,49382804000.0
医疗保健,医疗产品分销,上海医药,0.81,49210082000.0
医疗保健,医疗器械,欧普康视,-1.13,49151250000.0
科技,软件,汇顶科技,0.67,49100221000.0
公用事业,公共事业 - 独立发电商,大唐发电,1.25,49069974000.0
周期性消费,非生活必需品零售商,N迪阿,0.07,48857233000.0
基础材料,钢铁和焦煤,抚顺特钢,-1.36,48651707000.0
非周期性消费,教育,中公教育,0.0,48599107000.0
工业,航空航天和国防,中直股份,0.29,48337091000.0
周期性消费,家具制造,顾家家居,-0.66,48336026000.0
科技,半导体,爱旭股份,2.42,48281366000.0
基础材料,化工,联泓新科,2.32,48267739000.0
基础材料,化工,华峰化学,-0.1,48188600000.0
公用事业,公共事业 - 管制,华电国际,0.38,47988517000.0
周期性消费,汽车和配件,一汽解放,0.19,47901736000.0
医疗保健,医药制造,九洲药业,-1.65,47582868000.0
工业,建筑,招商公路,-1.28,47572375000.0
工业,垃圾处理,伟明环保,-1.04,47099134000.0
工业,工业制品,科达制造,2.1,46851699000.0
工业,农用和重型工程机械,徐工机械,-0.17,46845337000.0
工业,商业服务,卫士通,3.76,46748997000.0
周期性消费,家具制造,德业股份,7.44,46609157000.0
工业,工业制品,天华超净,-0.35,46595531000.0
科技,半导体,景嘉微,-3.26,46569465000.0
基础材料,化工,新宙邦,-1.14,46470305000.0
工业,建筑,旗滨集团,2.08,46149207000.0
医疗保健,生物科技,上海莱士,1.64,46040686000.0
科技,硬件,东山精密,-0.52,46029718000.0
工业,工业制品,上机数控,1.9,45943469000.0
非周期性消费,农副加工食品,汤臣倍健,0.38,45262283000.0
工业,工业制品,长远锂科,2.45,45143426000.0
基础材料,化工,永太科技,3.41,45141967000.0
基础材料,化工,百润股份,-3.3,44994853000.0
房地产,房地产开发及服务,广宇发展,-5.31,44793624000.0
工业,商业服务,华测检测,1.1,44476780000.0
周期性消费,汽车和配件,赛轮轮胎,1.61,44420530000.0
基础材料,化工,君正集团,0.0,44046451000.0
金融服务,资本市场,东吴证券,-1.24,43915799000.0
工业,航空航天和国防,中航电子,0.66,43866874000.0
非周期性消费,农副加工食品,大北农,2.42,43812763000.0
工业,工业制品,当升科技,1.22,43812378000.0
工业,工业制品,杭可科技,2.45,43775575000.0
基础材料,化工,昊华科技,4.07,43764525000.0
基础材料,化工,德方纳米,-0.33,43716632000.0
基础材料,化工,光威复材,1.62,43636552000.0
周期性消费,汽车和配件,北汽蓝谷,0.3,43258960000.0
基础材料,化工,国瓷材料,1.23,42954779000.0
金融服务,银行,成都银行,-0.34,42949667000.0
医疗保健,医药制造,*ST康美,5.1,42839348000.0
医疗保健,医疗器械,健帆生物,0.19,42796073000.0
科技,软件,石基信息,-0.59,42632407000.0
能源,石油与天然气,广汇能源,2.2,42611751000.0
工业,工业制品,中国动力,-1.35,42608651000.0
工业,工业制品,西部超导,0.57,42604811000.0
医疗保健,生物科技,诺唯赞,-1.05,42409061000.0
科技,硬件,和辉光电,0.33,42394973000.0
非周期性消费,农副加工食品,珀莱雅,2.63,42300538000.0
非周期性消费,酒精饮料,口子窖,-2.43,42150000000.0
工业,工业制品,国网英大,2.93,42144871000.0
非周期性消费,农副加工食品,绝味食品,-1.34,42043680000.0
科技,硬件,鸿远电子,0.49,42037236000.0
基础材料,化工,兴发集团,-0.05,41889785000.0
科技,硬件,中国长城,-1.25,41641396000.0
非周期性消费,农副加工食品,安井食品,-0.5,41627912000.0
科技,硬件,安克创新,-3.49,41578921000.0
周期性消费,汽车和配件,天能股份,0.64,41576717000.0
金融服务,资本市场,长江证券,-0.27,41474613000.0
金融服务,资本市场,财达证券,-0.23,41471100000.0
医疗保健,医药制造,普洛药业,-0.91,41283677000.0
科技,硬件,方大炭素,0.09,41180600000.0
科技,硬件,宏达电子,3.75,41165710000.0
医疗保健,医疗器械,乐普医疗,0.18,41018130000.0
基础材料,化工,浙江龙盛,-0.63,40861849000.0
工业,建筑,宁沪高速,-0.35,40639356000.0
科技,半导体,华天科技,0.08,40632865000.0
科技,硬件,固德威,4.54,40571520000.0
基础材料,钢铁和焦煤,太钢不锈,-0.7,40215910000.0
能源,其他能源,永泰能源,2.26,40214154000.0
科技,硬件,中科曙光,-0.33,40207884000.0
医疗保健,医疗诊断和研究,昭衍新药,-2.07,40093770000.0
金融服务,资产管理,财通证券,-5.82,40089277000.0
基础材料,农业,扬农化工,-1.96,40054434000.0
金融服务,资本市场,长城证券,0.31,40002895000.0
工业,航空航天和国防,航发控制,2.84,39994373000.0
基础材料,金属与开采,中金黄金,0.24,39796436000.0
医疗保健,生物科技,天坛生物,0.14,39725942000.0
基础材料,化工,石大胜华,2.83,39597592000.0
医疗保健,医疗机构和服务,益丰药房,4.66,39568032000.0
医疗保健,医疗器械,甘李药业,0.41,39476261000.0
工业,工业制品,捷佳伟创,2.64,39355275000.0
周期性消费,非生活必需品零售商,豫园股份,1.72,39215059000.0
科技,半导体,柏楚电子,1.54,38965690000.0
工业,建筑,伟星新材,5.26,38948112000.0
通信服务,传媒,完美世界,-1.33,38818250000.0
基础材料,金属与开采,云铝股份,-1.67,38805283000.0
基础材料,化工,恒逸石化,0.38,38789237000.0
基础材料,钢铁和焦煤,首钢股份,-0.52,38746868000.0
工业,农用和重型工程机械,浙江鼎力,0.31,38741749000.0
公用事业,公共事业 - 管制,深圳能源,0.74,38725507000.0
工业,工业制品,浙富控股,0.7,38662530000.0
能源,石油与天然气,杰瑞股份,-0.35,38467550000.0
科技,半导体,雅克科技,0.57,38397900000.0
科技,软件,寒武纪,4.12,38325579000.0
基础材料,化工,五矿稀土,-0.33,38323333000.0
工业,工业制品,思源电气,0.22,38309058000.0
科技,半导体,芯原股份,0.48,38301307000.0
工业,农用和重型工程机械,天山铝业,-0.73,38191640000.0
房地产,房地产开发及服务,陆家Ｂ股,0.09,38113013000.0
科技,软件,朗新科技,2.99,38083791000.0
周期性消费,非生活必需品零售商,苏宁易购,-0.49,38078063000.0
科技,硬件,航天电器,-0.47,38064434000.0
基础材料,化工,川能动力,2.74,37962887000.0
工业,工业制品,中控技术,0.7,37589911000.0
周期性消费,汽车和配件,江淮汽车,-2.71,37586808000.0
科技,硬件,科达利,-1.73,37431769000.0
